Grambling,-10.35,.408,.288,.503,49.1,62.0,10.3,10.1,.466,19.8,26.4,.271
Grand Canyon,-8.22,.309,.351,.593,57.3,57.5,7.4,9.3,.574,16.3,31.7,.213
Green Bay,-1.98,.247,.361,.526,47.0,53.5,8.4,7.7,.498,15.1,25.7,.180
Hampton,-7.98,.255,.363,.510,47.5,47.2,9.0,16.4,.483,15.6,24.4,.178
Hartford,-5.80,.281,.424,.514,47.8,45.6,11.4,5.9,.485,16.8,24.6,.195
Harvard,,,,,,,,,,,,
Hawaii,-0.20,.313,.375,.530,53.3,46.7,9.4,2.7,.501,16.8,31.1,.216
High Point,-6.97,.425,.308,.530,50.5,53.8,9.4,12.1,.492,17.5,29.1,.288
Hofstra,-1.50,.340,.382,.539,50.6,48.5,9.8,7.1,.503,15.6,29.2,.248
Holy Cross,7.42,.264,.304,.505,46.7,47.0,9.0,10.8,.482,16.7,26.7,.174
Houston Baptist,-2.21,.260,.419,.550,46.1,59.9,9.1,10.8,.520,21.1,23.9,.195
Houston,3.74,.348,.417,.526,56.3,48.9,12.1,12.6,.485,14.5,40.2,.256
Howard,-2.31,.389,.435,.541,47.2,60.2,7.1,12.8,.502,17.7,22.9,.279
Idaho State,-7.23,.379,.396,.568,54.9,51.8,6.3,8.4,.533,20.2,32.6,.275
Idaho,-3.54,.268,.326,.523,46.7,58.0,7.1,5.8,.495,21.2,22.3,.189
Illinois-Chicago,-7.70,.256,.425,.529,49.6,56.2,5.2,8.0,.510,17.0,24.1,.167
Illinois State,1.44,.272,.361,.550,48.3,50.8,8.1,9.6,.537,17.3,23.3,.168
Illinois,11.50,.378,.325,.592,57.0,56.8,7.5,7.2,.566,16.0,33.0,.265
Incarnate Word,-7.55,.358,.379,.562,48.3,52.4,7.7,5.4,.535,18.5,24.9,.243
Indiana State,4.62,.400,.338,.537,49.5,47.4,9.4,8.8,.491,17.8,25.6,.297
Indiana,12.50,.409,.317,.542,49.2,55.7,7.9,12.7,.512,15.2,23.5,.271
Iona,-6.49,.305,.395,.535,52.7,57.6,9.4,12.2,.504,17.8,32.9,.216
Iowa State,8.38,.214,.384,.530,44.1,44.1,10.5,7.1,.507,20.2,22.8,.156
Iowa,8.83,.346,.397,.586,52.1,64.7,8.1,11.2,.558,11.1,33.8,.248
Purdue-Fort Wayne,-8.50,.331,.382,.602,51.0,52.9,10.2,6.8,.580,22.7,28.9,.233
IUPUI,-4.22,.275,.395,.492,46.5,51.1,10.0,6.2,.463,16.8,25.5,.187
Jackson State,-9.19,.363,.286,.480,48.9,43.3,11.8,7.3,.427,19.8,28.8,.272
Jacksonville State,-5.14,.303,.395,.556,52.9,53.0,7.7,8.3,.531,16.9,31.6,.211
Jacksonville,-7.24,.338,.394,.524,47.9,47.2,10.3,7.6,.499,18.4,25.2,.218
James Madison,-2.60,.393,.421,.555,49.8,51.5,10.5,5.6,.528,15.1,28.7,.261
Kansas State,8.33,.279,.419,.505,49.7,59.0,7.8,5.0,.479,19.8,30.1,.186
Kansas,10.85,.297,.373,.537,53.0,52.5,9.3,11.5,.506,15.3,32.1,.213
Kennesaw State,-1.88,.282,.396,.502,50.3,45.7,7.9,7.4,.473,18.7,26.4,.192
Kent State,1.05,.274,.398,.563,55.4,51.9,9.6,9.7,.532,15.8,36.4,.207
Kentucky,11.99,.327,.294,.501,52.4,46.5,9.4,16.0,.463,18.3,33.8,.232
